,activity_name,description,url,image,available_days,available_times,latitude,longitude,address,price,currency,category,hours_min,hours_max
0,Free tour de los misterios y leyendas de Berlín,"Los secretos de la capital alemana son numerosos, al igual que sus misterios y leyendas. Acompañadnos a descubrir su cara oculta en este free tour por Berlín.",www.civitatis.com/es/berlin/free-tour-misterios-leyendas/,www.civitatis.com/f/alemania/berlin/free-tour-misterios-leyendas-list.jpg,"['14', '16']","[['10:00'], ['10:00']]",52.52062505416855,13.4071427198706,"St. Marienkirche, 8, Karl-Liebknecht-Straße, Spandauer Vorstadt, Mitte, Berlin, 10178, Deutschland",2.2,EUR,Español,3.0,3.0
1,Entrada al Icebar Berlín,"Si queréis saber cómo se vive dentro de un iglú, con la entrada al Icebar Berlín disfrutaréis de un universo gélido creado con 69000 kilos de hielo.",www.civitatis.com/es/berlin/entrada-icebar-berlin/,www.civitatis.com/f/alemania/berlin/entrada-icebar-berlin-list.jpg,"['16', '14', '15']","[[], [], []]",52.521041,13.4040211,"2, Spandauer Straße, Spandauer Vorstadt, Mitte, Berlin, 10178, Deutschland",5.0,EUR,Entradas,0.75,0.75
2,Visita guiada por la Isla de los Museos,"Acompañadnos en esta visita guiada por la Isla de los Museos, un recorrido a pie por este importante centro cultural de Berlín. ¡Os desvelaremos su historia!",www.civitatis.com/es/berlin/visita-guiada-isla-museos/,www.civitatis.com/f/alemania/berlin/visita-guiada-isla-museos-list.jpg,"['14', '16']","[['10:00'], ['10:00']]",52.517258,13.394698,"Unter den Linden, Friedrichswerder, Mitte, Berlin, 10117, Deutschland",4.0,EUR,Español,3.0,3.0
3,Tour en bicicleta por Berlín,"En este tour en bicicleta por Berlín practicaremos deporte mientras visitamos la ciudad sobre ruedas. Además, podréis elegir entre diferentes itinerarios.",www.civitatis.com/es/berlin/berlin-bicicleta/,www.civitatis.com/f/alemania/berlin/berlin-bicicleta-list.jpg,['16'],[['11:00']],52.54005526,13.41342434,"Kulturbrauerei, 36, Schönhauser Allee, Bremer Höhe, Prenzlauer Berg, Pankow, Berlin, 10435, Deutschland",6.8,EUR,Inglés,3.5,3.5
4,"Autobús turístico de Berlín, City Sightseeing",El autobús turístico recorre Berlín realizando paradas en los principales puntos de interés. Disfrutaréis de la capital alemana de una forma diferente.,www.civitatis.com/es/berlin/autobus-turistico-berlin/,www.civitatis.com/f/alemania/berlin/autobus-turistico-berlin-list.jpg,"['15', '16', '14']","[['0:00'], ['0:00'], ['0:00']]",0.0,0.0,,9.6,EUR,Español,24.0,48.0
5,Entrada al Madame Tussauds de Berlín,Sacad a lucir vuestras mejores poses en el Madame Tussauds de Berlín. Conoceréis a personajes tan famosos como Heidi Klum o Angela Merkel.,www.civitatis.com/es/berlin/entrada-madame-tussauds/,www.civitatis.com/f/alemania/berlin/entrada-madame-tussauds-list.jpg,"['14', '15', '16']","[[], [], []]",52.5168789,13.3813841,"74, Unter den Linden, Dorotheenstadt, Mitte, Berlin, 10117, Deutschland",5.8,EUR,,,
6,Entrada a Panoramapunkt sin colas,"Con esta entrada a Panoramapunkt subiréis en el ascensor más rápido de Europa, conoceréis la historia de Berlín y tendréis unas vistas increíbles de la ciudad.",www.civitatis.com/es/berlin/entrada-panoramapunkt/,www.civitatis.com/f/alemania/berlin/entrada-panoramapunkt-list.jpg,"['14', '15', '16']","[['10:00', '11:00', '12:00', '13:00', '14:00', '15:00', '16:00', '17:00'], ['10:00', '11:00', '12:00', '13:00', '14:00', '15:00', '16:00', '17:00'], ['10:00', '11:00', '12:00', '13:00', '14:00', '15:00', '16:00', '17:00']]",52.509299280840885,13.375025669424874,"Jam Sound, 1, Potsdamer Straße, Tiergarten, Mitte, Berlin, 10785, Deutschland",3.38,EUR,,,
7,Pub Crawl ¡Tour de fiesta por Berlín!,Disfrutad de vuestro viaje a la capital alemana apuntándoos a este tour de fiesta por Berlín. ¡Visitaremos 3 bares y 1 discoteca para vivir una noche única!,www.civitatis.com/es/berlin/pub-crawl-berlin/,www.civitatis.com/f/alemania/berlin/pub-crawl-berlin-list.jpg,['16'],[['21:00']],52.51678414718799,13.45421180141483,"Humana, 3, Frankfurter Tor, Friedrichshain, Friedrichshain-Kreuzberg, Berlin, 10243, Deutschland",5.0,EUR,Español,4.0,4.0
8,Excursión a Wittenberg,En esta excursión a Wittenberg desde Berlín descubriremos cómo fue el origen del Protestantismo y la ciudad donde Martín Lutero vivió y trabajó en la Reforma.,www.civitatis.com/es/berlin/excursion-wittenberg/,www.civitatis.com/f/alemania/berlin/excursion-wittenberg-list.jpg,['16'],[['9:30']],52.5190624,13.4064919,"Friedrichswerder, Mitte, Berlin, 10178, Deutschland",17.8,EUR,Español,7.0,7.0
9,Crucero con cena por Berlín,En este crucero con cena por Berlín navegaréis por las aguas del río Spree mientras disfrutáis de la iluminación de la capital de Alemania.,www.civitatis.com/es/berlin/crucero-cena-berlin/,www.civitatis.com/f/alemania/berlin/crucero-cena-berlin-list.jpg,['16'],[['18:30']],52.5207452,13.3062027,"Caprivibrücke, Wintersteinstraße, Charlottenburg, Charlottenburg-Wilmersdorf, Berlin, 10589, Deutschland",14.8,EUR,Paseos en barco,2.5,2.5
10,Entrada al Museo de la RDA,Reservando la entrada al Museo de la RDA descubriréis una de las exposiciones más interactivas de Berlín. Un viaje a la República Democrática Alemana.,www.civitatis.com/es/berlin/entrada-museo-rda/,www.civitatis.com/f/alemania/berlin/entrada-museo-rda-list.jpg,"['15', '14', '16']","[[], [], []]",52.5195343,13.4023415,"DDR-Museum, 1, Karl-Liebknecht-Straße, Friedrichswerder, Mitte, Berlin, 10178, Deutschland",2.7,EUR,,,
11,Entrada a LEGOLAND® Discovery Centre,Adéntrate en el colorido universo en miniatura de LEGO y diviértete a lo grande con las atracciones de LEGOLAND Discovery Centre.,www.civitatis.com/es/berlin/entrada-legoland-discovery-centre/,www.civitatis.com/f/alemania/berlin/entrada-legoland-discovery-centre-list.jpg,"['15', '14', '16']","[[], [], []]",52.51001,13.373286,"Das Center am Potsdamer Platz, Varian-Fry-Straße/Potsdamer Platz, Tiergarten, Mitte, Berlin, 10785, Deutschland",4.8,EUR,,,
12,"Juego de pistas: Muro de Berlín, las fugas más sorprendentes","El juego de pistas Muro de Berlín, las fugas más sorprendentes, es ideal para explorar la ciudad y descubrir su historia mientras resolvéis enigmas en una app.",www.civitatis.com/es/berlin/juego-pistas-muro-berlin-fugas/,www.civitatis.com/f/alemania/berlin/juego-pistas-muro-berlin-fugas-list.jpg,"['15', '16', '14']","[['0:00'], ['0:00'], ['0:00']]",52.509605,13.3779332,"Leipziger Platz, Mitte, Berlin, 10117, Deutschland",3.6,EUR,Español,1440.0,1.5
13,Entrada al Museo Fotografiska de Berlín,"Con vuestra entrada al Fotografiska de Berlín podréis explorar el museo contemporáneo de fotografía, arte y cultura de la capital alemana. ¡Os fascinará!",www.civitatis.com/es/berlin/entrada-museo-fotografiska-berlin/,www.civitatis.com/f/alemania/berlin/entrada-museo-fotografiska-berlin-list.jpg,"['14', '15', '16']","[[], [], []]",52.5258886170663,13.388865447815617,"Fotografiska Berlin, 54, Oranienburger Straße, Mitte, Berlin, 10117, Deutschland",3.2,EUR,,,
14,Entrada al SEA LIFE Berlin®,Reserva la entrada al SEA LIFE Berlin y pasa un día en el mundo submarino. Conocerás a más de 5.000 animales. ¡Diversión para toda la familia!,www.civitatis.com/es/berlin/entrada-aquadom-sea-life-berlin/,www.civitatis.com/f/alemania/berlin/entrada-aquadom-sea-life-berlin-list.jpg,"['15', '16', '14']","[[], [], []]",52.520276,13.4041,"Sea Life Berlin, 3, Spandauer Straße, Spandauer Vorstadt, Mitte, Berlin, 10178, Deutschland",3.7,EUR,,,
15,Excursión privada desde Berlín,Las refinadas ciudades de Potsdam o las huellas del holocausto en Sachsenhausen. Descubrid los alrededores de Berlín con una excursión privada en español.,www.civitatis.com/es/berlin/excursion-privada-berlin/,www.civitatis.com/f/alemania/berlin/excursion-privada-berlin-list.jpg,"['15', '14', '16']","[[], [], []]",0.0,0.0,,78.98,EUR,Español,6.0,6.0
16,Entrada a Berlin Dungeon,Con esta entrada a Berlin Dungeon viajaréis en el tiempo y conoceréis el oscuro pasado de Berlín en un show que os hará morir de miedo y a la vez de risa.,www.civitatis.com/es/berlin/entrada-berlin-dungeon/,www.civitatis.com/f/alemania/berlin/entrada-berlin-dungeon-list.jpg,"['15', '16', '14']","[[], [], []]",52.5213896,13.4035271,"Berlin Dungeon, 2, Spandauer Straße, Spandauer Vorstadt, Mitte, Berlin, 10178, Deutschland",4.8,EUR,,,
17,Campo de concentración de Sachsenhausen,"Dura, pero imprescindible. La excursión al campo de concentración de Sachsenhausen se ha convertido por mérito propio en el tour más popular desde Berlín.",www.civitatis.com/es/berlin/excursion-campo-concentracion-sachsenhausen/,www.civitatis.com/f/alemania/berlin/excursion-campo-concentracion-sachsenhausen-list.jpg,"['15', '14', '16']","[['10:00'], ['10:00'], ['10:00']]",52.52105,13.41017,"Gontardstraße, Mitte, Berlin, 10178, Deutschland",9.0,EUR,Español,6.0,6.0
18,Free tour por Berlín,"Si viajáis a la capital de Alemania, no dudéis en reservar el mejor free tour por Berlín. Esta ruta a pie de 3 horas y media es la más completa. ¡Os encantará!",www.civitatis.com/es/berlin/free-tour-berlin/,www.civitatis.com/f/alemania/berlin/free-tour-berlin-list.jpg,"['14', '16', '15']","[['10:00', '11:00', '15:00', '16:00'], ['10:00', '11:00', '15:00', '16:00'], ['10:00', '11:00', '15:00', '16:00']]",52.51609495775182,13.37941303624959,"Pariser Platz, Dorotheenstadt, Mitte, Berlin, 10117, Deutschland",2.5,EUR,Español,3.5,3.5
19,Excursión a Potsdam y Sachsenhausen,En esta excursión a Potsdam y Sachsenhausen visitaremos estos dos destacados lugares que forman parte de la historia de Alemania en un día. ¡Imprescindible!,www.civitatis.com/es/berlin/excursion-potsdam-sachsenhausen/,www.civitatis.com/f/alemania/berlin/excursion-potsdam-sachsenhausen-list.jpg,"['14', '16']","[['9:30'], ['9:30']]",52.52208619,13.41278165,"Alexanderplatz, Mitte, Berlin, 10178, Deutschland",16.25,EUR,Español,7.0,7.0
20,Excursión a Potsdam,¿Queréis conocer una de las ciudades más bellas de Alemania? En esta excursión a Potsdam viajaremos en tren desde Berlín para descubrir sus palacios e iglesias.,www.civitatis.com/es/berlin/excursion-potsdam/,www.civitatis.com/f/alemania/berlin/excursion-potsdam-list.jpg,['15'],[['10:00']],52.52105,13.41017,"Gontardstraße, Mitte, Berlin, 10178, Deutschland",7.8,EUR,Español,6.0,6.0
21,,"Servicio privado, puerta a puerta y al mejor precio. Un chófer os esperará en el aeropuerto, en el hotel o donde queráis para llevaros a vuestro destino. Rápido y seguro.",,www.civitatis.comhttps://www.civitatis.com/f/images/promos/traslados-list.jpg,"['15', '14', '16']","[[], [], []]",,,,,,"Seguro, sin contratiempos",,
22,Tour de Berlín al completo,El tour de Berlín al completo es perfecto para conocer la ciudad en solo un día. Descubriréis sus monumentos más importantes con un guía en español.,www.civitatis.com/es/berlin/tour-berlin-completo/,www.civitatis.com/f/alemania/berlin/tour-berlin-completo-list.jpg,['15'],[['9:00']],52.516204,13.37828,"Pariser Platz, Dorotheenstadt, Mitte, Berlin, 10117, Deutschland",10.0,EUR,Español,6.0,6.0
23,Visita guiada por el Berlín alternativo,En esta visita guiada por el Berlín alternativo descubriremos qué hay más allá de los monumentos y cómo es la vida en los barrios de la capital alemana.,www.civitatis.com/es/berlin/berlin-de-barrio/,www.civitatis.com/f/alemania/berlin/berlin-de-barrio-list.jpg,"['14', '15', '16']","[['15:00'], ['15:00'], ['15:00']]",52.515749,13.379516,"Akademie der Künste, 4, Pariser Platz, Dorotheenstadt, Mitte, Berlin, 10117, Deutschland",5.0,EUR,Español,3.0,3.0
24,Free tour del Muro de Berlín y la Guerra Fría,En este free tour del Muro de Berlín y la Guerra Fría descubriremos cómo era la vida en la capital de Alemania cuando la ciudad estaba dividida en sectores.,www.civitatis.com/es/berlin/free-tour-muro-berlin-guerra-fria/,www.civitatis.com/f/alemania/berlin/free-tour-muro-berlin-guerra-fria-list.jpg,"['15', '14', '16']","[['10:00'], ['10:00'], ['10:00']]",52.520827,13.387031,"Tränenpalast, Reichstagufer, Dorotheenstadt, Mitte, Berlin, 10117, Deutschland",2.2,EUR,Español,3.5,3.5
25,Paseo histórico por el Berlín del nazismo,En este paseo histórico por Berlín nos acercaremos a la figura de Hitler para descubrir cómo llegó al poder. Conoceremos el nazismo de principio a fin.,www.civitatis.com/es/berlin/visita-berlin-nazi/,www.civitatis.com/f/alemania/berlin/visita-berlin-nazi-list.jpg,['14'],[['10:00']],52.52105,13.41017,"Gontardstraße, Mitte, Berlin, 10178, Deutschland",6.6,EUR,Español,4.0,4.0
26,Visita guiada por Berlín,No hay mejor forma de empezar un viaje que con una visita guiada en español. Conoce lo más importante de Berlín en una sola mañana.,www.civitatis.com/es/berlin/visita-guiada-berlin/,www.civitatis.com/f/alemania/berlin/visita-guiada-berlin-list.jpg,"['15', '16']","[['10:00'], ['10:00']]",52.52105,13.41017,"Gontardstraße, Mitte, Berlin, 10178, Deutschland",6.6,EUR,Español,4.0,4.0
27,Excursión a Dresde y Meissen,"En esta excursión a Dresde y Meissen desde Berlín os llevaremos a descubrir la esencia del antiguo reino de Sajonia, conociendo sus lugares con más historia.",www.civitatis.com/es/berlin/excursion-dresde-meissen/,www.civitatis.com/f/alemania/berlin/excursion-dresde-meissen-list.jpg,['16'],[['8:00']],52.5190624,13.4064919,"Friedrichswerder, Mitte, Berlin, 10178, Deutschland",27.0,EUR,Español,11.0,11.0
28,"Autobús turístico de Berlín, Big Bus","El autobús turístico de Berlín Big Bus os permitirá conocer los imprescindibles de la capital alemana. Además, podréis subir y bajar en cualquier parada.",www.civitatis.com/es/berlin/autobus-turistico-berlin-big-bus/,www.civitatis.com/f/alemania/berlin/autobus-turistico-berlin-big-bus-list.jpg,"['15', '14', '16']","[[], [], []]",0.0,0.0,,8.88,EUR,Español,24.0,48.0
29,Visita guiada por el Barrio Judío y su museo,"Durante este tour recorreremos uno de los barrios más carismáticos de Berlín y, además, visitaremos el Museo Judío. ¡Os encantará!",www.civitatis.com/es/berlin/visita-guiada-barrio-judio/,www.civitatis.com/f/alemania/berlin/visita-guiada-barrio-judio-list.jpg,['15'],[['10:30']],52.502431,13.394904,"Jüdisches Museum, 9-14, Lindenstraße, Luisenstadt, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10969, Deutschland",9.0,EUR,Español,4.0,4.0
30,Tour de la cerveza por Berlín,Descubrid el aroma de la cerveza alemana en este tour por los mejores bares de Berlín. Aprenderéis cómo se hace y probaréis el producto estrella del país.,www.civitatis.com/es/berlin/tour-cerveza-berlin/,www.civitatis.com/f/alemania/berlin/tour-cerveza-berlin-list.jpg,"['16', '14']","[['17:00'], ['17:00']]",52.5009829,13.4413504,"U-Bahnhof Schlesisches Tor, Skalitzer Straße, Luisenstadt, Kreuzberg, Friedrichshain-Kreuzberg, Berlin, 10997, Deutschland",8.0,EUR,Español,3.0,3.0
31,Berlin WelcomeCard,La tarjeta Berlin WelcomeCard permite el uso ilimitado del transporte público y ofrece descuentos de hasta el 50% en más de 190 museos y atracciones.,www.civitatis.com/es/berlin/berlin-welcomecard/,www.civitatis.com/f/alemania/berlin/berlin-welcomecard-list.jpg,"['15', '14', '16']","[[], [], []]",0.0,0.0,,4.03,EUR,Entradas,48.0,144.0
32,Tour privado por Berlín con guía en español,"Descubrid la historia, monumentos y arte de la capital de Alemania en uno de nuestros tours privados por Berlín. ¡Una oportunidad única para explorar la ciudad!",www.civitatis.com/es/berlin/tour-privado-berlin/,www.civitatis.com/f/alemania/berlin/tour-privado-berlin-list.jpg,"['15', '14', '16']","[[], [], []]",0.0,0.0,,39.5,EUR,Español,722.0,4.0
33,Espectáculo FALLING IN LOVE Grand Show en el Teatro Friedrichstadt-Palast,"El teatro Friedrichstadt-Palast de Berlín no solo destaca por tener el escenario más ancho del mundo, sino también por sus increíbles espectáculos.",www.civitatis.com/es/berlin/espectaculo-teatro-friedrichstadt-palast/,www.civitatis.com/f/alemania/berlin/espectaculo-teatro-friedrichstadt-palast-list.jpg,"['15', '14']","[['19:30'], ['19:30']]",52.523957,13.387844,"107, Friedrichstraße, Dorotheenstadt, Mitte, Berlin, 10117, Deutschland",8.98,EUR,Espectáculos,2.5,2.5
34,Visita al Palacio de Charlottenburg + Excursión a Potsdam,"En esta visita por el Palacio de Charlottenburg en Berlín recorremos sus estancias y, después, nos desplazaremos a Potsdam para contemplar sus bellos palacios.",www.civitatis.com/es/berlin/visita-palacio-charlottenburg-excursion-potsdam/,www.civitatis.com/f/alemania/berlin/visita-palacio-charlottenburg-excursion-potsdam-list.jpg,"['15', '16']","[['9:30'], ['9:30']]",52.519364,13.406287,"Spandauer Vorstadt, Mitte, Berlin, 10178, Deutschland",15.8,EUR,Español,8.0,8.0
35,Visita guiada por el Museo Nuevo,"¿Cómo vivían los faraones? Lo descubriremos en esta visita guiada por el Museo Nuevo, donde veremos el busto de Nerfetiti y otras piezas del Antiguo Egipto.",www.civitatis.com/es/berlin/visita-guiada-museo-nuevo/,www.civitatis.com/f/alemania/berlin/visita-guiada-museo-nuevo-list.jpg,"['14', '16']","[['15:00'], ['15:00']]",52.51956430488067,13.39765149325871,"Museumsinsel, Burgstraße, Spandauer Vorstadt, Mitte, Berlin, 10178, Deutschland",7.5,EUR,Español,2.0,2.0
36,Tour de la Guerra Fría + Muro de Berlín + Museo de la Stasi,"Si queréis saber cómo era la vida en una ciudad completamente dividida, podéis descubrirlo en este tour por los lugares de Berlín que marcaron la Guerra Fría.",www.civitatis.com/es/berlin/berlin-guerra-fria/,www.civitatis.com/f/alemania/berlin/berlin-guerra-fria-list.jpg,"['14', '16']","[['10:00'], ['10:00']]",52.52105,13.41017,"Gontardstraße, Mitte, Berlin, 10178, Deutschland",7.8,EUR,Español,4.0,4.0
